,Unnamed: 0,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
154,154,Male,Yes,48,Yes,Artist,8.0,Low,3.0,Cat_2,B
157,157,Male,Yes,52,Yes,Artist,2.0,Average,4.0,Cat_6,A
165,165,Female,Yes,47,Yes,Artist,8.0,High,2.0,Cat_6,C
170,170,Female,Yes,47,Yes,Engineer,9.0,Average,4.0,Cat_2,C
171,171,Female,No,55,Yes,Artist,3.0,Low,1.0,Cat_6,A
174,174,Female,Yes,41,Yes,Entertainment,9.0,Low,1.0,Cat_7,D
177,177,Female,Yes,68,Yes,Lawyer,2.0,High,2.0,Cat_6,C
179,179,Female,Yes,55,No,Engineer,3.0,Average,2.0,Cat_6,D
184,184,Female,Yes,68,Yes,Lawyer,3.0,Low,1.0,Cat_6,A
191,191,Male,No,45,Yes,Artist,5.0,Low,1.0,Cat_4,C
197,197,Female,Yes,38,No,Engineer,9.0,Low,2.0,Cat_6,A
200,200,Female,Yes,83,Yes,Lawyer,13.0,High,2.0,Cat_6,B
201,201,Male,No,40,Yes,Artist,5.0,Low,2.0,Cat_6,A
205,205,Female,Yes,49,No,Entertainment,9.0,High,2.0,Cat_6,A
210,210,Female,No,45,Yes,Artist,2.0,Low,1.0,Cat_6,A
221,221,Male,Yes,63,Yes,Entertainment,6.0,Low,2.0,Cat_6,D
223,223,Female,No,38,Yes,Homemaker,4.0,Low,1.0,Cat_6,B
226,226,Male,Yes,33,No,Executive,9.0,High,2.0,Cat_6,D
227,227,Female,Yes,46,No,Entertainment,9.0,Average,5.0,Cat_4,D
231,231,Male,No,45,Yes,Artist,2.0,Low,1.0,Cat_6,C
239,239,Female,No,39,Yes,Artist,9.0,Low,1.0,Cat_6,C
240,240,Female,Yes,58,No,Entertainment,9.0,Low,4.0,Cat_3,C
242,242,Male,No,33,Yes,Artist,8.0,Low,2.0,Cat_6,A
243,243,Female,Yes,53,No,Homemaker,9.0,Low,1.0,Cat_6,A
246,246,Female,No,52,Yes,Artist,9.0,Low,1.0,Cat_6,B
247,247,Female,,31,,Doctor,9.0,High,2.0,Cat_4,A
248,248,Male,Yes,48,Yes,Executive,4.0,High,3.0,Cat_6,C
250,250,Male,Yes,62,Yes,Entertainment,2.0,Average,6.0,Cat_6,A
253,253,Female,No,33,Yes,Healthcare,7.0,Low,2.0,Cat_6,D
261,261,Male,Yes,40,No,Entertainment,14.0,Average,3.0,Cat_6,D
267,267,Female,Yes,60,No,Entertainment,9.0,Low,4.0,Cat_3,B
268,268,Male,No,40,Yes,Doctor,4.0,Low,2.0,Cat_6,C
271,271,Female,No,31,No,Homemaker,8.0,Low,1.0,Cat_6,A
275,275,Male,Yes,45,Yes,Executive,5.0,High,4.0,Cat_4,A
283,283,Male,Yes,62,Yes,Artist,2.0,Average,4.0,Cat_6,B
287,287,Male,Yes,52,Yes,Artist,6.0,Average,2.0,Cat_6,B
288,288,Female,Yes,41,No,Engineer,4.0,Average,2.0,Cat_6,D
297,297,Female,Yes,39,Yes,Healthcare,8.0,Average,2.0,Cat_6,D
298,298,Female,Yes,46,Yes,Artist,4.0,High,5.0,Cat_6,C
300,300,Female,Yes,47,No,Engineer,8.0,Low,1.0,Cat_3,A
302,302,Female,Yes,79,Yes,Lawyer,4.0,High,,Cat_6,B
309,309,Female,No,33,No,Homemaker,2.0,Low,4.0,Cat_3,D
316,316,Male,Yes,39,Yes,Executive,5.0,High,3.0,Cat_6,C
319,319,Female,Yes,33,Yes,Engineer,2.0,Average,2.0,Cat_6,D
324,324,Female,No,36,Yes,Artist,3.0,Low,3.0,Cat_6,C
330,330,Female,,35,Yes,Homemaker,4.0,Low,1.0,Cat_3,B
334,334,Male,Yes,50,Yes,Artist,8.0,Average,2.0,Cat_6,C
352,352,Male,Yes,41,Yes,Artist,8.0,Average,2.0,Cat_6,C
353,353,Male,Yes,43,No,Executive,3.0,Low,,Cat_6,B
354,354,Female,Yes,41,Yes,Artist,3.0,Low,2.0,Cat_6,A
360,360,Female,Yes,69,Yes,Artist,2.0,Average,9.0,Cat_5,C
362,362,Female,Yes,52,Yes,Engineer,4.0,High,2.0,Cat_4,B
363,363,Male,No,31,Yes,Artist,9.0,Low,1.0,Cat_6,A
366,366,Female,Yes,43,Yes,Healthcare,9.0,Low,2.0,Cat_6,C
370,370,Female,No,31,Yes,Marketing,8.0,Low,,Cat_1,D
381,381,Female,No,41,Yes,Healthcare,12.0,Low,1.0,Cat_1,A
382,382,Male,Yes,51,No,Artist,3.0,Average,2.0,Cat_6,C
386,386,Male,Yes,41,Yes,Homemaker,2.0,Average,3.0,Cat_3,B
392,392,Female,Yes,38,Yes,Engineer,4.0,Low,2.0,Cat_4,A
396,396,Male,Yes,35,Yes,Entertainment,6.0,Low,3.0,Cat_6,D
399,399,Female,No,43,Yes,Artist,14.0,Low,2.0,Cat_6,B
404,404,Male,No,36,Yes,Artist,4.0,Low,1.0,Cat_4,A
405,405,Male,Yes,35,Yes,Artist,4.0,Average,2.0,Cat_2,C
413,413,Female,No,43,Yes,Homemaker,9.0,Low,,Cat_6,D
418,418,Male,No,31,No,Executive,4.0,Low,5.0,Cat_1,D
424,424,Male,No,37,Yes,Engineer,9.0,Low,1.0,Cat_6,D
426,426,Male,No,31,Yes,Healthcare,3.0,Low,4.0,Cat_1,D
431,431,Female,No,32,Yes,Artist,6.0,Low,1.0,Cat_3,B
432,432,Male,Yes,40,Yes,Artist,13.0,High,1.0,Cat_4,D
437,437,Male,Yes,39,Yes,Artist,4.0,Average,,Cat_6,C
452,452,Male,Yes,58,Yes,Artist,6.0,Average,4.0,Cat_6,C
455,455,Male,Yes,47,Yes,Executive,8.0,High,4.0,Cat_6,C
458,458,Male,Yes,63,Yes,Artist,9.0,Average,3.0,,A
460,460,Male,No,35,Yes,Artist,4.0,Low,2.0,Cat_6,A
468,468,Male,Yes,36,Yes,Artist,8.0,Low,4.0,Cat_4,D
480,480,Male,No,36,Yes,Doctor,9.0,Low,1.0,Cat_6,B
485,485,Female,Yes,46,Yes,Artist,3.0,Low,3.0,Cat_6,A
486,486,Male,No,65,Yes,Executive,9.0,Low,3.0,Cat_6,D
487,487,Male,Yes,43,Yes,Artist,8.0,Average,2.0,Cat_6,D
488,488,Female,Yes,68,Yes,Lawyer,9.0,High,4.0,Cat_6,C
490,490,Female,Yes,35,Yes,Artist,8.0,High,5.0,Cat_6,B
493,493,Female,No,55,Yes,Doctor,3.0,Low,,Cat_3,C
494,494,Female,Yes,37,No,Entertainment,2.0,Average,4.0,Cat_4,A
496,496,Female,Yes,62,Yes,Artist,9.0,Low,1.0,Cat_6,B
500,500,Male,Yes,59,Yes,Entertainment,5.0,High,5.0,Cat_6,B
501,501,Female,Yes,31,No,Homemaker,12.0,Average,2.0,Cat_6,B
504,504,Male,Yes,39,Yes,Artist,4.0,Average,4.0,Cat_3,A
505,505,Female,No,40,Yes,Healthcare,6.0,Low,2.0,Cat_6,D
506,506,Female,No,39,Yes,Engineer,14.0,Low,1.0,Cat_6,C
512,512,Male,Yes,53,Yes,Artist,9.0,Low,1.0,Cat_6,C
527,527,Female,Yes,52,Yes,Artist,6.0,Low,2.0,Cat_6,A
533,533,Female,No,38,Yes,Engineer,3.0,Low,1.0,Cat_2,B
536,536,Male,Yes,53,No,Executive,2.0,High,4.0,Cat_4,A
541,541,Male,No,33,Yes,Entertainment,9.0,Low,2.0,Cat_6,D
557,557,Female,No,33,No,Healthcare,7.0,Low,6.0,Cat_6,C
558,558,Female,No,38,Yes,Healthcare,8.0,Low,2.0,Cat_6,D
567,567,Female,Yes,43,Yes,Entertainment,5.0,Average,3.0,Cat_6,C
570,570,Male,Yes,32,No,Entertainment,2.0,Low,2.0,Cat_3,A
571,571,Female,No,52,No,Artist,5.0,Low,1.0,Cat_6,C
573,573,Female,Yes,32,Yes,Artist,8.0,Low,3.0,Cat_6,B
577,577,Male,Yes,53,Yes,Executive,4.0,High,4.0,Cat_6,D
587,587,Female,No,31,Yes,Healthcare,6.0,Low,4.0,Cat_2,D
591,591,Female,No,36,Yes,Artist,13.0,Low,1.0,Cat_6,D
602,602,Male,Yes,39,Yes,Artist,10.0,Low,2.0,Cat_4,C
604,604,Female,Yes,65,Yes,Artist,3.0,Average,2.0,Cat_6,C
605,605,Male,Yes,49,Yes,Artist,2.0,Low,2.0,Cat_2,A
607,607,Female,No,36,Yes,Entertainment,10.0,Low,2.0,Cat_6,A
608,608,Female,Yes,51,Yes,Artist,8.0,Average,2.0,Cat_6,B
612,612,Female,Yes,73,Yes,Lawyer,3.0,Low,1.0,Cat_6,C
615,615,Male,Yes,69,No,Executive,9.0,Average,2.0,Cat_6,B
631,631,Female,Yes,45,Yes,Artist,5.0,Average,2.0,Cat_6,B
648,648,Male,Yes,52,Yes,Artist,4.0,Low,1.0,Cat_6,C
651,651,Female,Yes,55,Yes,Artist,10.0,Low,1.0,Cat_6,B
655,655,Male,Yes,43,Yes,Doctor,12.0,Low,2.0,Cat_6,A
659,659,Male,Yes,53,Yes,Artist,3.0,Average,3.0,Cat_6,C
672,672,Female,,32,,Doctor,8.0,High,2.0,Cat_4,D
673,673,Female,No,36,Yes,Artist,9.0,Low,2.0,Cat_6,A
677,677,Female,Yes,43,No,Artist,4.0,Average,4.0,Cat_1,A
683,683,Male,Yes,53,Yes,Artist,3.0,Average,3.0,Cat_6,B
694,694,Female,Yes,40,Yes,Artist,8.0,Low,1.0,Cat_6,B
697,697,Male,Yes,31,Yes,Artist,8.0,Average,2.0,Cat_6,C
699,699,Female,Yes,50,Yes,Artist,9.0,Low,2.0,Cat_6,B
704,704,Female,No,32,No,Healthcare,12.0,Low,3.0,Cat_6,A
706,706,Male,Yes,41,Yes,Entertainment,2.0,Low,2.0,Cat_4,C
712,712,Female,No,52,Yes,Artist,6.0,Low,1.0,Cat_6,A
718,718,Female,Yes,35,Yes,Doctor,7.0,Average,3.0,Cat_4,A
720,720,Female,No,39,Yes,Artist,12.0,Low,1.0,Cat_6,C
728,728,Male,Yes,55,Yes,Executive,2.0,High,3.0,Cat_6,C
739,739,Female,Yes,50,Yes,Entertainment,7.0,Low,3.0,Cat_6,A
754,754,Female,Yes,43,Yes,Artist,5.0,Average,2.0,Cat_4,A
764,764,Female,Yes,40,Yes,Entertainment,6.0,Average,2.0,Cat_6,D
768,768,Male,Yes,40,Yes,Artist,8.0,Average,2.0,Cat_6,B
771,771,Male,No,35,No,Entertainment,9.0,Low,2.0,Cat_6,D
773,773,Male,No,39,Yes,Artist,2.0,Low,3.0,Cat_4,B
775,775,Female,Yes,41,Yes,Healthcare,6.0,Average,2.0,Cat_6,C
776,776,Male,Yes,41,No,Executive,8.0,Average,4.0,Cat_1,A
786,786,Female,Yes,53,No,Entertainment,9.0,High,2.0,Cat_6,A
792,792,Female,No,43,No,Doctor,4.0,Low,6.0,Cat_7,B
796,796,Male,Yes,52,Yes,Lawyer,8.0,High,2.0,Cat_6,C
808,808,Male,Yes,45,Yes,Artist,4.0,Average,4.0,Cat_6,B
817,817,Female,No,35,Yes,Entertainment,9.0,Low,4.0,Cat_6,C
819,819,Male,Yes,56,Yes,Executive,8.0,High,2.0,Cat_6,A
822,822,Male,Yes,39,No,Engineer,2.0,Average,,Cat_4,A
826,826,Female,,46,Yes,Entertainment,6.0,Low,3.0,Cat_6,A
831,831,Female,Yes,49,No,Artist,5.0,Low,5.0,Cat_6,D
833,833,Female,Yes,45,Yes,Homemaker,8.0,High,4.0,Cat_6,B
834,834,Female,No,33,Yes,Artist,3.0,Low,2.0,Cat_4,D
835,835,Male,Yes,57,Yes,Artist,2.0,Average,2.0,Cat_6,A
841,841,Male,Yes,66,Yes,Artist,2.0,Low,1.0,Cat_6,C
844,844,Female,Yes,42,Yes,Artist,9.0,Low,2.0,Cat_6,B
849,849,Female,Yes,43,Yes,Artist,9.0,High,4.0,Cat_6,C
852,852,Male,No,39,Yes,Artist,5.0,Low,2.0,Cat_6,B
857,857,Male,,60,No,Executive,7.0,Average,2.0,Cat_4,A
864,864,Male,No,43,,Artist,6.0,Low,5.0,Cat_2,B
868,868,Male,Yes,40,Yes,Artist,14.0,Low,2.0,Cat_6,C
871,871,Male,Yes,43,Yes,Engineer,5.0,High,2.0,Cat_3,A
873,873,Female,No,38,Yes,Artist,7.0,Low,1.0,Cat_6,A
875,875,Male,Yes,61,Yes,Entertainment,9.0,Average,2.0,Cat_6,C
877,877,Male,Yes,45,Yes,Entertainment,4.0,Average,3.0,Cat_2,B
888,888,Female,Yes,51,Yes,Marketing,9.0,Low,1.0,Cat_6,A
900,900,Female,No,43,No,Doctor,8.0,Low,1.0,Cat_4,D
901,901,Female,No,68,No,,2.0,Low,3.0,Cat_7,D
905,905,Female,Yes,52,Yes,Engineer,4.0,Low,1.0,Cat_3,B
906,906,Female,Yes,71,Yes,Lawyer,7.0,High,3.0,Cat_3,C
909,909,Female,No,33,Yes,Artist,7.0,Low,3.0,Cat_6,A
915,915,Female,No,31,No,Healthcare,10.0,Low,2.0,Cat_3,C
918,918,Male,Yes,65,Yes,Lawyer,11.0,High,2.0,Cat_6,C
919,919,Female,Yes,39,Yes,Entertainment,7.0,Average,2.0,Cat_6,B
922,922,Male,No,37,Yes,Healthcare,5.0,Low,2.0,Cat_3,D
925,925,Male,Yes,42,No,Entertainment,6.0,Average,2.0,Cat_2,A
932,932,Female,Yes,31,Yes,Homemaker,9.0,Average,2.0,,B
939,939,Male,No,38,Yes,Doctor,4.0,Low,1.0,Cat_2,B
941,941,Female,No,36,Yes,Artist,10.0,Low,1.0,Cat_6,B
943,943,Female,No,39,Yes,Entertainment,2.0,Low,1.0,Cat_6,D
949,949,Female,Yes,38,Yes,Artist,6.0,Average,2.0,Cat_6,A
952,952,Female,Yes,62,,Lawyer,9.0,Low,5.0,Cat_6,B
958,958,Female,No,51,No,Engineer,8.0,Low,6.0,Cat_4,D
959,959,Female,No,33,No,Homemaker,9.0,Low,1.0,Cat_6,D
960,960,Female,Yes,43,Yes,Artist,4.0,Average,2.0,Cat_3,C
968,968,Female,No,39,Yes,Engineer,8.0,Low,2.0,Cat_4,C
971,971,Female,Yes,42,No,Engineer,4.0,Low,1.0,Cat_6,B
972,972,Female,Yes,58,Yes,Artist,7.0,Low,2.0,Cat_6,C
977,977,Female,,43,Yes,Doctor,9.0,Average,1.0,Cat_6,B
985,985,Male,Yes,43,Yes,Artist,5.0,Average,2.0,Cat_6,B
994,994,Male,Yes,31,Yes,Entertainment,4.0,Low,2.0,Cat_6,B
997,997,Male,Yes,53,Yes,Executive,6.0,High,3.0,Cat_6,C
1000,1000,Female,No,35,Yes,Engineer,4.0,Low,4.0,Cat_2,C
1006,1006,Male,Yes,38,No,Executive,3.0,High,5.0,Cat_6,A
1012,1012,Female,Yes,41,Yes,Artist,3.0,Average,3.0,Cat_6,C
1015,1015,Female,Yes,53,Yes,Artist,4.0,Average,6.0,Cat_6,C
1017,1017,Female,Yes,38,Yes,Artist,5.0,Average,2.0,Cat_6,C
1023,1023,Male,Yes,31,No,Doctor,8.0,Low,2.0,Cat_2,A
1024,1024,Female,No,39,Yes,,8.0,Low,,Cat_6,C
1030,1030,Female,Yes,47,No,Marketing,2.0,Low,1.0,Cat_6,D
1033,1033,Male,Yes,43,Yes,Artist,2.0,Average,4.0,Cat_3,C
1035,1035,Male,No,42,Yes,Artist,9.0,Low,1.0,Cat_6,A
1037,1037,Female,No,35,No,Artist,7.0,Low,2.0,Cat_6,D
1041,1041,Female,No,42,No,Artist,2.0,Low,2.0,Cat_6,A
1044,1044,Female,No,33,Yes,Healthcare,2.0,Low,2.0,Cat_6,A
1050,1050,Female,Yes,42,No,Homemaker,6.0,High,4.0,Cat_6,B
1065,1065,Female,Yes,75,No,Entertainment,2.0,High,2.0,Cat_2,D
1067,1067,Female,Yes,38,Yes,Artist,8.0,Average,2.0,Cat_6,B
1068,1068,Male,No,38,Yes,Artist,8.0,Low,1.0,Cat_6,A
1073,1073,Female,No,48,No,Entertainment,2.0,Low,,Cat_4,D
1075,1075,Female,Yes,36,Yes,Artist,8.0,Average,2.0,Cat_6,B
1080,1080,Female,Yes,48,Yes,Homemaker,9.0,Average,2.0,Cat_3,C
1084,1084,Male,Yes,40,No,Entertainment,2.0,Average,5.0,Cat_2,B
1086,1086,Female,Yes,36,Yes,Entertainment,7.0,Average,2.0,Cat_6,B
1087,1087,Male,Yes,41,Yes,Entertainment,2.0,Average,2.0,Cat_6,A
1088,1088,Female,Yes,50,Yes,Artist,9.0,High,2.0,Cat_6,C
1089,1089,Male,No,41,Yes,Artist,9.0,Low,1.0,Cat_6,B
1094,1094,Male,Yes,52,Yes,Artist,2.0,Low,3.0,Cat_3,A
1096,1096,Male,Yes,36,Yes,Doctor,7.0,Average,2.0,Cat_6,A
1097,1097,Male,Yes,65,No,Executive,2.0,High,7.0,Cat_4,A
1099,1099,Female,No,36,Yes,Homemaker,9.0,Low,1.0,Cat_2,A
1104,1104,Female,Yes,56,Yes,Artist,2.0,Average,2.0,Cat_6,B
1107,1107,Male,Yes,35,Yes,Artist,8.0,Low,4.0,Cat_7,A
1114,1114,Female,No,50,Yes,Artist,4.0,Low,1.0,Cat_6,B
1115,1115,Male,No,40,No,Engineer,2.0,Low,4.0,Cat_6,D
1117,1117,Male,Yes,31,No,Marketing,2.0,Low,3.0,Cat_6,D
1125,1125,Male,Yes,35,Yes,Entertainment,11.0,Low,6.0,Cat_6,A
1128,1128,Male,Yes,45,Yes,Artist,4.0,Average,4.0,Cat_6,C
1144,1144,Male,Yes,37,Yes,Artist,6.0,Low,1.0,Cat_6,B
1146,1146,Male,No,41,Yes,Doctor,4.0,Low,2.0,Cat_6,B
1148,1148,Male,Yes,81,No,Executive,9.0,High,2.0,Cat_6,C
1154,1154,Female,No,40,Yes,Engineer,9.0,Low,1.0,Cat_7,A
1159,1159,Female,No,46,Yes,Artist,3.0,Low,1.0,Cat_3,A
1161,1161,Female,No,32,No,Engineer,9.0,Low,4.0,Cat_5,A
1162,1162,Male,Yes,37,Yes,Entertainment,8.0,Average,2.0,Cat_6,A
1163,1163,Female,Yes,40,Yes,Artist,9.0,Low,2.0,Cat_6,C
1166,1166,Female,Yes,46,Yes,Artist,9.0,Average,4.0,Cat_6,C
1168,1168,Female,No,31,Yes,Artist,14.0,Low,2.0,Cat_6,D
1171,1171,Female,Yes,51,Yes,Artist,6.0,High,2.0,Cat_4,B
1176,1176,Male,No,33,Yes,Doctor,9.0,Low,6.0,Cat_4,D
1181,1181,Male,No,33,No,Executive,7.0,Low,5.0,Cat_6,D
1188,1188,Female,Yes,47,No,Engineer,8.0,Average,,Cat_4,A
1189,1189,Female,No,31,No,Doctor,6.0,Low,2.0,Cat_3,A
1201,1201,Female,Yes,49,Yes,Entertainment,2.0,Average,5.0,Cat_3,A
1203,1203,Male,No,38,No,Artist,2.0,Low,2.0,Cat_3,A
1218,1218,Male,No,33,No,Healthcare,3.0,Low,5.0,Cat_2,B
1221,1221,Male,Yes,51,Yes,Artist,7.0,Average,2.0,Cat_6,C
1222,1222,Male,Yes,39,No,Artist,7.0,Average,3.0,Cat_6,C
1226,1226,Female,Yes,78,Yes,Lawyer,3.0,High,2.0,Cat_6,C
1232,1232,Female,No,35,Yes,Entertainment,7.0,Low,2.0,Cat_6,A
1235,1235,Male,Yes,70,Yes,Engineer,4.0,High,2.0,Cat_6,B
1239,1239,Female,Yes,61,Yes,Artist,4.0,Average,6.0,Cat_4,B
1261,1261,Male,Yes,46,Yes,Artist,5.0,Average,2.0,Cat_3,C
1263,1263,Female,No,38,Yes,Artist,9.0,Low,1.0,Cat_3,A
1265,1265,Male,No,32,No,Doctor,5.0,Low,1.0,Cat_4,D
1277,1277,Female,No,38,Yes,Marketing,9.0,Low,4.0,Cat_5,D
1279,1279,Male,Yes,35,Yes,Executive,4.0,High,3.0,Cat_6,B
1282,1282,Male,No,42,Yes,Entertainment,2.0,Low,3.0,Cat_6,B
1299,1299,Female,No,43,Yes,Healthcare,9.0,Low,3.0,Cat_7,A
1300,1300,Female,Yes,53,Yes,Engineer,8.0,High,4.0,Cat_6,A
1305,1305,Male,No,35,Yes,Artist,8.0,Low,2.0,Cat_6,D
1309,1309,Female,No,42,Yes,Entertainment,6.0,Low,2.0,Cat_6,A
1314,1314,Male,Yes,32,No,Doctor,14.0,Average,2.0,Cat_3,D
1316,1316,Female,No,42,Yes,Engineer,6.0,Low,1.0,Cat_6,A
1320,1320,Female,No,38,Yes,Doctor,9.0,Low,2.0,Cat_6,B
1328,1328,Female,No,31,No,Doctor,6.0,Low,4.0,Cat_6,D
1331,1331,Male,Yes,81,Yes,Lawyer,9.0,Low,1.0,Cat_6,B
1332,1332,Male,Yes,40,No,Engineer,8.0,Low,1.0,Cat_6,A
1333,1333,Male,Yes,51,Yes,Entertainment,3.0,Low,3.0,Cat_6,C
1338,1338,Male,Yes,41,,Executive,6.0,High,2.0,Cat_3,A
1339,1339,Male,Yes,79,Yes,Lawyer,2.0,High,2.0,Cat_6,B
1343,1343,Female,No,42,Yes,Artist,9.0,Low,1.0,Cat_6,C
1349,1349,Male,No,32,No,Artist,9.0,Low,4.0,Cat_6,D
1353,1353,Male,Yes,50,Yes,Executive,4.0,Average,4.0,Cat_2,B
1356,1356,Male,Yes,45,Yes,Artist,7.0,Low,2.0,Cat_2,A
1357,1357,Female,Yes,43,Yes,Marketing,6.0,Low,1.0,Cat_6,A
1359,1359,Female,Yes,38,Yes,Artist,7.0,Average,3.0,Cat_4,B
1360,1360,Male,Yes,52,Yes,Artist,2.0,High,1.0,Cat_4,D
1363,1363,Male,No,45,Yes,Entertainment,6.0,Low,2.0,Cat_6,A
1368,1368,Male,No,39,Yes,Artist,4.0,Low,1.0,Cat_4,A
1370,1370,Female,Yes,69,No,Engineer,9.0,Low,3.0,Cat_6,A
1371,1371,Male,Yes,42,No,Executive,3.0,High,3.0,Cat_4,A
1376,1376,Female,Yes,89,Yes,Lawyer,2.0,Low,1.0,Cat_6,A
1379,1379,Male,Yes,72,Yes,Homemaker,9.0,Low,,,D
1381,1381,Female,Yes,48,Yes,Artist,8.0,Average,2.0,Cat_6,A
1383,1383,Female,Yes,51,Yes,Artist,3.0,Low,2.0,Cat_3,B
1392,1392,Female,Yes,45,Yes,Artist,8.0,Average,2.0,,B
1397,1397,Male,Yes,40,No,Doctor,4.0,Average,4.0,Cat_6,B
1398,1398,Male,Yes,40,Yes,Entertainment,9.0,High,3.0,Cat_6,C
1399,1399,Male,No,53,Yes,Marketing,2.0,Low,4.0,Cat_6,C
1401,1401,Male,Yes,51,Yes,Entertainment,4.0,Average,2.0,Cat_2,C
1411,1411,Female,No,31,Yes,Entertainment,9.0,Low,3.0,Cat_7,D
1416,1416,Male,Yes,58,,Entertainment,2.0,Average,4.0,Cat_3,D
1421,1421,Male,Yes,63,Yes,Artist,6.0,Low,1.0,Cat_6,B
1429,1429,Female,No,31,No,Homemaker,8.0,Low,1.0,Cat_4,D
1437,1437,Female,Yes,60,Yes,Engineer,4.0,Average,4.0,Cat_2,B
1438,1438,Male,Yes,43,Yes,Doctor,4.0,Average,4.0,Cat_3,B
1440,1440,Female,No,38,No,Homemaker,8.0,Low,,Cat_6,A
1442,1442,Male,Yes,37,No,Doctor,4.0,Average,2.0,Cat_6,A
1447,1447,Male,No,41,Yes,Artist,6.0,Low,1.0,Cat_3,B
1448,1448,Male,Yes,47,No,Artist,3.0,Average,3.0,Cat_6,C
1449,1449,Male,No,33,No,Healthcare,4.0,Low,3.0,Cat_4,D
1467,1467,Male,No,36,Yes,Doctor,9.0,Low,1.0,Cat_6,D
1468,1468,Female,,32,No,Engineer,7.0,High,5.0,Cat_4,A
1469,1469,Male,Yes,61,Yes,Entertainment,7.0,High,5.0,Cat_6,B
1471,1471,Female,No,42,Yes,Engineer,8.0,Low,3.0,Cat_4,A
1474,1474,Male,Yes,40,Yes,Entertainment,9.0,Average,2.0,Cat_6,B
1476,1476,Female,Yes,68,Yes,Artist,4.0,Low,2.0,Cat_6,B
1478,1478,Male,No,58,No,Healthcare,4.0,Low,2.0,Cat_6,D
1480,1480,Male,Yes,61,No,Engineer,9.0,Average,4.0,Cat_6,C
1481,1481,Male,Yes,56,,Entertainment,4.0,Average,4.0,Cat_3,C
1488,1488,Male,Yes,43,Yes,Executive,7.0,High,3.0,Cat_6,B
1490,1490,Male,Yes,47,Yes,Artist,13.0,Average,4.0,Cat_6,C
1495,1495,Female,Yes,78,Yes,Lawyer,6.0,Low,1.0,Cat_4,A
1497,1497,Male,Yes,39,No,Executive,6.0,Average,2.0,Cat_4,D
1498,1498,Male,Yes,53,Yes,Doctor,2.0,Average,3.0,Cat_6,C
